No.  Input_img    Ref_img    IdentityIssame     Expression_actual    Expression_require    Expression_ref    ExpressionIsrequire
0  /data/zming/datasets/CK+/CK+_mtcnnpy_182_160/S085/002/S085_002_00000013.png  /data/zming/datasets/CK+/CK+_mtcnnpy_182_160/S085/003/S085_003_00000001.png  True  5  5  0  True
1  /data/zming/datasets/CK+/CK+_mtcnnpy_182_160/S085/002/S085_002_00000012.png  /data/zming/datasets/CK+/CK+_mtcnnpy_182_160/S085/003/S085_003_00000001.png  True  5  5  0  True
2  /data/zming/datasets/CK+/CK+_mtcnnpy_182_160/S085/002/S085_002_00000014.png  /data/zming/datasets/CK+/CK+_mtcnnpy_182_160/S085/003/S085_003_00000001.png  True  5  5  0  True
3  /data/zming/datasets/CK+/CK+_mtcnnpy_182_160/S085/003/S085_003_00000013.png  /data/zming/datasets/CK+/CK+_mtcnnpy_182_160/S085/003/S085_003_00000001.png  True  7  7  0  True
4  /data/zming/datasets/CK+/CK+_mtcnnpy_182_160/S085/003/S085_003_00000012.png  /data/zming/datasets/CK+/CK+_mtcnnpy_182_160/S085/003/S085_003_00000001.png  True  7  7  0  True
5  /data/zming/datasets/CK+/CK+_mtcnnpy_182_160/S085/003/S085_003_00000011.png  /data/zming/datasets/CK+/CK+_mtcnnpy_182_160/S085/003/S085_003_00000001.png  True  7  7  0  True
6  /data/zming/datasets/CK+/CK+_mtcnnpy_182_160/S085/002/S085_002_00000013.png  /data/zming/datasets/CK+/CK+_mtcnnpy_182_160/S085/004/S085_004_00000001.png  True  5  5  0  True
7  /data/zming/datasets/CK+/CK+_mtcnnpy_182_160/S085/002/S085_002_00000014.png  /data/zming/datasets/CK+/CK+_mtcnnpy_182_160/S085/004/S085_004_00000001.png  True  5  5  0  True
8  /data/zming/datasets/CK+/CK+_mtcnnpy_182_160/S085/002/S085_002_00000012.png  /data/zming/datasets/CK+/CK+_mtcnnpy_182_160/S085/004/S085_004_00000001.png  True  5  5  0  True
9  /data/zming/datasets/CK+/CK+_mtcnnpy_182_160/S085/003/S085_003_00000013.png  /data/zming/datasets/CK+/CK+_mtcnnpy_182_160/S085/004/S085_004_00000001.png  True  7  7  0  True
